epoch,train_loss,val_loss,train_acc,val_acc,val_f1,lr
1,0.8256087768199315,1.0042024462722068,0.6353711790393013,0.438953488372093,0.2286553777159205,0.001
2,0.4561081197671321,0.8625466435454613,0.8617176128093159,0.686046511627907,0.6225964345292357,0.0009960967771506667
3,0.3118626486613067,1.708403043968733,0.9497816593886463,0.5581395348837209,0.49125823743011393,0.0009844486647586723
4,0.26372794327604027,0.41741324857223866,0.9672489082969432,0.875,0.812320172634271,0.0009652393605146844
5,0.22873474536070484,0.4437500273072442,0.9796215429403202,0.8924418604651163,0.9017551725252507,0.0009387718066217124
6,0.2016982281745955,0.34591189304063485,0.9941775836972343,0.9302325581395349,0.9491935483870968,0.0009054634122155989
7,0.1920087977571432,0.4754346026930698,0.9970887918486172,0.8633720930232558,0.8811439200186003,0.0008658394705735986
8,0.18424128234559967,0.20650889568550643,0.9985443959243085,0.9854651162790697,0.9793654404984604,0.0008205248749256013
9,0.18629643080276173,0.26711012249769167,0.9985443959243085,0.9505813953488372,0.9639688739516153,0.0007702342635146031
10,0.18354232099552514,0.21040381387222645,0.9985443959243085,0.9796511627906976,0.9850835624917553,0.0007157607493247108
11,0.1806596409979519,0.21482318397178207,1.0,0.9825581395348837,0.9871930395186209,0.0006579634122155988
12,0.18069953372731826,0.25348628329676254,0.9992721979621543,0.9622093023255814,0.9425978619082067,0.0005977537507199336
13,0.1789008135835503,0.20383842809255734,1.0,0.9912790697674418,0.9935926773455378,0.00053608130716701
14,0.1770523920373278,0.19915173289387725,1.0,0.9883720930232558,0.9914717348927876,0.0004739186928329898
15,0.17851104753246474,0.23623042882874953,0.9992721979621543,0.9738372093023255,0.9807003032809485,0.00041224624928006627
16,0.17654808694184954,0.21220911796702896,1.0,0.9825581395348837,0.9871930395186209,0.00035203658778440114
17,0.17675240765145425,0.20797696016555609,1.0,0.9825581395348837,0.9872076023391813,0.00029423925067528897
18,0.17563810376274186,0.20383736040703085,1.0,0.9825581395348837,0.9871930395186209,0.00023976573648539648
19,0.17597080903802897,0.20525943193324778,1.0,0.9825581395348837,0.9871930395186209,0.00018947512507439852
20,0.17509192484261515,0.2030565593131753,1.0,0.9825581395348837,0.9871930395186209,0.00014416052942640135
21,0.1748445671935616,0.20332845491032267,1.0,0.9825581395348837,0.9871930395186209,0.00010453658778440104
22,0.17484702280515146,0.2036917615075444,1.0,0.9825581395348837,0.9871930395186209,7.122819337828752e-05
23,0.17515746533350132,0.2041665991378385,1.0,0.9825581395348837,0.9871930395186209,4.476063948531558e-05
24,0.17517818306644584,0.20392368075459502,1.0,0.9825581395348837,0.9871930395186209,2.5551335241327672e-05
25,0.17533181343102908,0.20356581966544307,1.0,0.9825581395348837,0.9871930395186209,1.3903222849333509e-05
