model,type,features,val_accuracy,val_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1
Logistic Regression,Naive Baseline,24 statistical descriptors,0.688953488372093,0.7310441225343577,0.7069767441860465,0.7289589659527583,0.7794809425509698,0.7508150524009398
Random Forest (200 trees),Simple ML Baseline,24 statistical descriptors,0.9709302325581395,0.9786793372319688,0.9651162790697675,0.9741268121549812,0.967164455608005,0.9705513220155062
"XGBoost (200 trees, depth=6)",Established ML Baseline,24 statistical descriptors,0.9563953488372093,0.9680983583313921,0.9674418604651163,0.9757076632222308,0.9767355246632888,0.9761540390285234
TF-FaultNet (Proposed),Proposed Deep Learning,End-to-end (raw audio → log-mel → ResNet+SE),0.9884,0.9915,0.986046511627907,0.9891891891891892,0.9829888027562447,0.9858890901972924
