epoch,train_loss,val_loss,train_acc,val_acc,val_f1,lr
1,2.2125758041981527,2.0954745702965316,0.26055312954876275,0.22674418604651161,0.19718779021048163,0.001
2,1.0116060016110127,2.074150041092274,0.7503639010189228,0.36046511627906974,0.2554269445391307,0.0009960967771506667
3,0.6356738922897905,1.801897026771723,0.9126637554585153,0.4941860465116279,0.4182474509551235,0.0009844486647586723
4,0.5137987445275336,0.6493651298589485,0.9563318777292577,0.8924418604651163,0.8817463940936903,0.0009652393605146844
5,0.4274563217614242,0.5270398647286171,0.987627365356623,0.9331395348837209,0.9310737362010396,0.0009387718066217124
6,0.38225898862405633,0.3807403334351473,0.9970887918486172,0.9941860465116279,0.9941484424981303,0.0009054634122155989
7,0.38380106277167364,0.4648326441299084,0.9941775836972343,0.9593023255813954,0.9582803306978152,0.0008658394705735986
8,0.3678665707291821,0.37230057355969454,0.9970887918486172,0.9854651162790697,0.9853755666595956,0.0008205248749256013
9,0.3522296865867909,0.4989292760228002,0.9978165938864629,0.9418604651162791,0.9420320695906493,0.0007702342635146031
10,0.3421169076944543,0.3455242764118106,0.9992721979621543,0.9941860465116279,0.9941520467836257,0.0007157607493247108
11,0.33536856967462375,0.33681988577510036,1.0,0.9912790697674418,0.9912262696972315,0.0006579634122155988
12,0.3304072162122879,0.4126393115797708,1.0,0.9680232558139535,0.9675144006745998,0.0005977537507199336
13,0.32906457530185473,0.33314241503560266,1.0,0.9912790697674418,0.9912262696972315,0.00053608130716701
14,0.3262205316510263,0.3300248869629793,1.0,0.9941860465116279,0.9940998329156224,0.0004739186928329898
15,0.32322382644968434,0.3286574690840965,1.0,0.9883720930232558,0.9883517571357862,0.00041224624928006627
16,0.3251800602613752,0.3288732309674108,1.0,0.9912790697674418,0.9912262696972315,0.00035203658778440114
17,0.32235035031296455,0.3263767278471658,1.0,0.9941860465116279,0.9940998329156224,0.00029423925067528897
18,0.3213415847334799,0.3263169346853744,1.0,0.9883720930232558,0.9883022930890445,0.00023976573648539648
19,0.32265425019042115,0.32676122216291204,1.0,0.9941860465116279,0.9940998329156224,0.00018947512507439852
20,0.320505352216343,0.3244831582834554,1.0,0.9912790697674418,0.9911758563074352,0.00014416052942640135
21,0.3186602863595649,0.32337989363559455,1.0,0.9941860465116279,0.9940998329156224,0.00010453658778440104
22,0.31872379103081716,0.32280106877171716,1.0,0.9941860465116279,0.9940998329156224,7.122819337828752e-05
23,0.31831297851025275,0.3233213688051978,1.0,0.9941860465116279,0.9940998329156224,4.476063948531558e-05
24,0.3178869224705203,0.32373971162840376,1.0,0.9941860465116279,0.9940998329156224,2.5551335241327672e-05
25,0.31832053294348406,0.3232208434925523,1.0,0.9941860465116279,0.9940998329156224,1.3903222849333509e-05
